_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
7255038,RES200019,RESIDENCE,745  RAVENSWOOD AVE,PITTSBURGH,15202,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT PIPE INSULATION AND HEAT SHIELD,65,t,2020-03-16,2020-05-29,CALI FEENEY,t,f,2020-05-29,RES,COMPLETE,40.507686,-80.055279
7255039,RES200024,RESIDENCE,236 W LARKSPUR ST,MUNHALL,15120,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT FLOOR TILE,630,t,2020-04-03,2020-04-17,ELIZABETH LETURGEY,t,f,2020-04-17,RES,COMPLETE,40.402017,-79.8946965
7255040,RES200027,RESIDENCE,16  FAWNWOOD DR,MCKEES ROCKS,15136,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE KITCHEN LINOLEUM,300,t,2020-05-18,2020-07-31,ELIZABETH LETURGEY,t,f,2020-07-31,RES,COMPLETE,40.472433,-80.146908
7255041,RES200029,RESIDENCE,168  GASS RD,PENN HILLS,15229,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT FLOOR TILE AND MASTIC,900,t,2020-05-21,2020-08-28,CALI FEENEY,t,f,2020-08-28,RES,COMPLETE,40.527189,-80.0512515
7255042,RES200030,RESIDENCE,11425  AZALEA DR,PITTSBURGH,15235,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE LAUNDRY FLOOR TILE; MASTIC & UNDERLAYMENT,135,t,2020-05-27,2020-09-04,ELIZABETH LETURGEY,t,f,2020-09-04,RES,COMPLETE,40.466538,-79.830603
7255043,RES200033,RESIDENCE,105  EARLWOOD RD,PITTSBURGH,15235,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT DUCT SEAM TAPE,10,t,2020-06-22,2020-07-31,CALI FEENEY,t,f,2020-07-31,RES,COMPLETE,40.474737,-79.8295815
7255044,RES200034,RESIDENCE,1454  SHADY AVE,PITTSBURGH,15217,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT PIPE INSULATION,126,t,2020-06-30,2020-10-30,CALI FEENEY,t,f,2020-10-30,RES,COMPLETE,40.442238,-79.9204095
7255045,RES200038,RESIDENCE,1426  PUEBLO DR,MT LEBANON,15228,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT FLOOR TILE,720,t,2020-07-12,2020-10-30,ELIZABETH LETURGEY,t,f,2020-10-30,RES,COMPLETE,40.358565,-80.0469855
7255046,RES200044,RESIDENCE,66  NOBLESTOWN RD,CARNEGIE,15106,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE TRANSITE FROM LEFT SIDE OF BUILDING,775,t,2020-08-07,2020-10-30,CALI FEENEY,t,f,2020-10-30,RES,COMPLETE,40.398318,-80.1286515
7255047,RES200045,RESIDENCE,16  SWALLOW HILL RD,CARNEGIE,15106,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMBE KITCHEN LINOLEUM AND BASEMENT FLOOR TILE,440,t,2020-08-14,2020-10-30,CALI FEENEY,t,f,2020-10-30,RES,COMPLETE,40.401252,-80.069094
7255048,RES200047,RESIDENCE,504 S LANG AVE,PITTSBURGH,15208,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REOVE BASEMENT CRAWLSPACE PIPE INSULATION DEBRIS,36,t,2020-08-17,2020-10-30,ELIZABETH LETURGEY,t,f,2020-10-30,RES,COMPLETE,40.446072,-79.906329
7255049,RES200051,7135 THOMAS BOULEVARD,,PITTSBURGH,15206,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE GARAGE PIPE INSULATION,70,t,2020-09-08,2020-11-27,ELIZABETH LETURGEY,t,f,2020-11-27,RES,COMPLETE,40.4640557070001,-79.9330411939999
7255050,RES200053,RESIDENCE,308  MCINTOSH DR,CORAOPOLIS,15108,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE KITCHEN FLOOR TILE,100,t,2020-09-21,2020-09-22,ELIZABETH LETURGEY,t,f,2020-09-22,RES,COMPLETE,40.506336,-80.214966
7255051,RES200057,RESIDENCE,229  PRINCETON AVE,WEST VIEW,15229,0,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE TRANSITE ROOF SHINGLES,900,t,2020-09-28,2020-12-30,ELIZABETH LETURGEY,t,f,2020-12-30,RES,COMPLETE,40.518378,-80.0461575
