_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC
77466901,0081L00060000000,"910 BRINTELL ST, PITTSBURGH, PA 15201",910, ,,BRINTELL,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2014-10-02,2014-09-30,90500,15753,339,37,ESTATE SALE,DE,DEED
77467466,0045N00033000000,"1325 HALSEY PL, PITTSBURGH, PA 15212",1325, ,,HALSEY,PL,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2014-10-06,2014-09-26,25000,15756,11,37,ESTATE SALE,DE,DEED
77469176,0077J00086000000,"153 MARSHALL AVE, PITTSBURGH, PA 15214",153, ,,MARSHALL,AVE,,,PITTSBURGH,PA,15214,47,Pittsburgh,126,26th Ward - PITTSBURGH,2014-10-17,2014-10-13,31500,15768,123,37,ESTATE SALE,FD,FIDUCIARY DEED
77470482,0016K00117000000,"1207 BEECHVIEW AVE, PITTSBURGH, PA 15216",1207, ,,BEECHVIEW,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,119,19th Ward - PITTSBURGH,2014-11-06,2014-11-04,73750,15791,584,37,ESTATE SALE,DE,DEED
77471085,0034J00199000000,"1645 PIONEER AVE, PITTSBURGH, PA 15226",1645, ,,PIONEER,AVE,,,PITTSBURGH,PA,15226,47,Pittsburgh,119,19th Ward - PITTSBURGH,2014-11-10,2014-11-05,66000,15793,368,37,ESTATE SALE,DE,DEED
77471111,0097D00283000000,"916 ROSSMORE AVE, PITTSBURGH, PA 15226",916, ,,ROSSMORE,AVE,,,PITTSBURGH,PA,15226,47,Pittsburgh,119,19th Ward - PITTSBURGH,2014-11-14,2014-10-27,46000,15799,347,37,ESTATE SALE,DE,DEED
77471172,0163J00322000000,"4114 FAIRBANKS AVE, PITTSBURGH, PA 15214",4114, ,,FAIRBANKS,AVE,,,PITTSBURGH,PA,15214,47,Pittsburgh,126,26th Ward - PITTSBURGH,2014-11-14,2014-11-13,47500,15799,545,37,ESTATE SALE,DE,DEED
77472298,0042D00315000000,"327 STADIUM ST, PITTSBURGH, PA 15204",327, ,,STADIUM,ST,,,PITTSBURGH,PA,15204,47,Pittsburgh,120,20th Ward - PITTSBURGH,2014-11-20,2014-12-03,33000,15815,575,37,ESTATE SALE,DE,DEED
77472935,0035D00119000000,"1510 ORANGEWOOD AVE, PITTSBURGH, PA 15216",1510, ,,ORANGEWOOD,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,119,19th Ward - PITTSBURGH,2014-12-10,2014-12-05,85000,15822,441,37,ESTATE SALE,DE,DEED
77473701,0096R00372000000,"1743 HARCOR DR, PITTSBURGH, PA 15226",1743, ,,HARCOR,DR,,,PITTSBURGH,PA,15226,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2014-12-16,2014-12-15,107000,15828,512,37,ESTATE SALE,DE,DEED
77474332,0052B00016000000,"4912 WALLINGFORD ST, PITTSBURGH, PA 15213",4912, ,,WALLINGFORD,ST,,,PITTSBURGH,PA,15213,47,Pittsburgh,107,7th Ward - PITTSBURGH,2014-12-22,2014-12-19,333000,15836,33,37,ESTATE SALE,DE,DEED
77474377,0033R00186000000,"138 WYNOKA ST, PITTSBURGH, PA 15210",138, ,,WYNOKA,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2014-12-30,2014-12-23,52500,15841,529,37,ESTATE SALE,DE,DEED
77474619,0040G00191000000,"8 OAKMONT ST, PITTSBURGH, PA 15205",8, ,,OAKMONT,ST,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2014-12-23,2014-12-19,49000,15837,318,37,ESTATE SALE,DE,DEED
77475498,0035C00271000000,"1430 ROCKLAND AVE, PITTSBURGH, PA 15216",1430, ,,ROCKLAND,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,119,19th Ward - PITTSBURGH,2014-09-23,2014-08-22,30000,15742,173,37,ESTATE SALE,DE,DEED
77475562,0077J00219000000,"2943 NORWOOD AVE, PITTSBURGH, PA 15214",2943, ,,NORWOOD,AVE,,,PITTSBURGH,PA,15214,47,Pittsburgh,126,26th Ward - PITTSBURGH,2014-01-21,2014-01-21,72000,15493,141,37,ESTATE SALE,DE,DEED
77476487,0006M00312050000,"1 TRIMONT LN, UNIT 500P, PITTSBURGH, PA 15211",1, ,,TRIMONT,LN,UNIT,500P,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2014-12-31,2014-12-30,175900,15844,198,37,ESTATE SALE,DE,DEED
77477856,0012R00143000000,"2511 LETICOE ST, REAR, PITTSBURGH, PA 15203",2511, ,,LETICOE,ST,REAR,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,2015-01-29,2015-01-28,123500,15869,319,37,ESTATE SALE,DE,DEED
77479753,0096B00153000000,"1402 BELLAIRE PL, PITTSBURGH, PA 15226",1402, ,,BELLAIRE,PL,,,PITTSBURGH,PA,15226,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2014-11-20,2014-11-19,50500,15805,261,37,ESTATE SALE,GW,GENERAL WARRANTY
77480511,0126N00103000000,"6630 RIDGEVILLE ST, PITTSBURGH, PA 15217",6630, ,,RIDGEVILLE,ST,,,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,2015-03-03,2015-02-23,339900,15898,71,37,ESTATE SALE,DE,DEED
77480570,0126G00106000000,"147 HARTWOOD DR, PITTSBURGH, PA 15208",147, ,,HARTWOOD,DR,,,PITTSBURGH,PA,15208,47,Pittsburgh,114,14th Ward - PITTSBURGH,2015-03-04,2015-02-10,549000,15899,89,37,ESTATE SALE,DE,DEED
77481000,0080G00127000000,"5105 BERLIN WAY, PITTSBURGH, PA 15201",5105, ,,BERLIN,WAY,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2015-02-27,2015-02-26,145000,15895,512,37,ESTATE SALE,DE,DEED
77481579,0129D00114000000,"265 WHIPPLE ST, PITTSBURGH, PA 15218",265, ,,WHIPPLE,ST,,,PITTSBURGH,PA,15218,47,Pittsburgh,114,14th Ward - PITTSBURGH,2015-03-11,2015-03-06,164900,15906,237,37,ESTATE SALE,DE,DEED
77481731,0027M00246070500,"307 S DITHRIDGE ST, UNIT 705, PITTSBURGH, PA 15213",307, ,S,DITHRIDGE,ST,UNIT,705,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2015-03-19,2015-03-11,264500,15914,343,37,ESTATE SALE,DE,DEED
77482515,0049E00009000001,"3730-3732 FOSTER ST, PITTSBURGH, PA 15201",3730, -3732,,FOSTER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,106,6th Ward - PITTSBURGH,2015-03-20,2015-03-20,100100,15915,546,37,ESTATE SALE,FD,FIDUCIARY DEED
77482641,0080D00221000000,"5334 NATRONA WAY, PITTSBURGH, PA 15201",5334, ,,NATRONA,WAY,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2015-03-23,2015-03-19,90000,15916,231,37,ESTATE SALE,DE,DEED
77482863,0050G00086000000,"5124 HILLCREST ST, PITTSBURGH, PA 15224",5124, ,,HILLCREST,ST,,,PITTSBURGH,PA,15224,47,Pittsburgh,110,10th Ward - PITTSBURGH,2015-03-30,2015-03-17,65000,15923,500,37,ESTATE SALE,DE,DEED
77483526,0025M00157000000,"3015 BRERETON ST, PITTSBURGH, PA 15219",3015, ,,BRERETON,ST,,,PITTSBURGH,PA,15219,47,Pittsburgh,106,6th Ward - PITTSBURGH,2015-04-01,2015-03-31,70000,15928,1,37,ESTATE SALE,DE,DEED
77483582,0024K00194000000,"900 WETTACH ST, PITTSBURGH, PA 15212",900, ,,WETTACH,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,123,23rd Ward - PITTSBURGH,2015-04-09,2015-04-07,16500,15938,95,37,ESTATE SALE,DE,DEED
77484164,0076E00198000000,"3444 BRIGHTON RD, PITTSBURGH, PA 15212",3444, ,,BRIGHTON,RD,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2015-04-14,2015-04-09,23500,15942,293,37,ESTATE SALE,DE,DEED
77485163,0003N00067000000,"435 EUREKA ST, PITTSBURGH, PA 15211",435, ,,EUREKA,ST,,,PITTSBURGH,PA,15211,47,Pittsburgh,118,18th Ward - PITTSBURGH,2015-04-27,2015-04-23,73500,15955,422,37,ESTATE SALE,DE,DEED
77485314,0119S00044000000,"5311 CARNEGIE ST, PITTSBURGH, PA 15201",5311, ,,CARNEGIE,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2015-04-28,2015-04-17,431410,15956,517,37,ESTATE SALE,EX,EXECUTORS DEED
77485497,0004J00113000000,"466 BELONDA ST, PITTSBURGH, PA 15211",466, ,,BELONDA,ST,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2015-04-23,2015-04-17,85150,15952,463,37,ESTATE SALE,DE,DEED
77486225,0076J00327000000,"39 COURTRIGHT ST, PITTSBURGH, PA 15212",39, ,,COURTRIGHT,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2015-05-06,2015-04-30,29900,15967,537,37,ESTATE SALE,FD,FIDUCIARY DEED
77486365,0060P00144000000,"366 LINE ST, PITTSBURGH, PA 15210",366, ,,LINE,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2015-05-06,2015-04-02,70000,15968,227,37,ESTATE SALE,DE,DEED
77486825,0055F00173000000,"4312 HALDANE ST, PITTSBURGH, PA 15207",4312, ,,HALDANE,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2015-05-15,2015-05-09,172000,15978,391,37,ESTATE SALE,DE,DEED
77488052,0076A00074000000,"1151 DAVIS AVE, PITTSBURGH, PA 15212",1151, ,,DAVIS,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2015-05-29,2015-05-27,94500,15992,279,37,ESTATE SALE,DE,DEED
77488136,0232C00072000000,"2068 FAIRLAWN ST, PITTSBURGH, PA 15221",2068, ,,FAIRLAWN,ST,,,PITTSBURGH,PA,15221,47,Pittsburgh,113,13th Ward - PITTSBURGH,2015-05-26,2015-05-20,50000,15986,377,37,ESTATE SALE,DE,DEED
77488313,0014R00069000000,"124 ZARA ST, PITTSBURGH, PA 15210",124, ,,ZARA,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,130,30th Ward - PITTSBURGH,2015-05-29,2015-05-26,20000,15991,415,37,ESTATE SALE,EX,EXECUTORS DEED
77488732,0006L00141000000,"317 AUGUSTA ST, PITTSBURGH, PA 15211",317, ,,AUGUSTA,ST,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2015-06-01,2015-05-22,170000,15994,483,37,ESTATE SALE,FD,FIDUCIARY DEED
77489894,0096R00342000000,"1742 EBEN ST, PITTSBURGH, PA 15226",1742, ,,EBEN,ST,,,PITTSBURGH,PA,15226,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2015-06-16,2015-05-18,98000,16013,456,37,ESTATE SALE,DE,DEED
77489917,0030A00130000000,"3125 MARY ST, PITTSBURGH, PA 15203",3125, ,,MARY,ST,,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,2015-06-16,2015-06-01,95000,16013,188,37,ESTATE SALE,DE,DEED
77490667,0052B00098081800,"5 BAYARD RD, UNIT 818, PITTSBURGH, PA 15213",5, ,,BAYARD,RD,UNIT,818,PITTSBURGH,PA,15213,47,Pittsburgh,107,7th Ward - PITTSBURGH,2015-06-19,2015-06-08,155000,16017,248,37,ESTATE SALE,DE,DEED
77491443,0096B00010000100,"156 ROSWIN DR, PITTSBURGH, PA 15226",156, ,,ROSWIN,DR,,,PITTSBURGH,PA,15226,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2015-06-26,2015-05-27,129000,16027,394,37,ESTATE SALE,DE,DEED
77491547,0004B00120000000,"317 VIRGINIA AVE, PITTSBURGH, PA 15211",317, ,,VIRGINIA,AVE,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2015-06-29,2015-06-25,130000,16028,260,37,ESTATE SALE,DE,DEED
77491761,0039H00072000000,"137 KEARNS PL, PITTSBURGH, PA 15205",137, ,,KEARNS,PL,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2015-07-02,2015-06-19,157000,16033,519,37,ESTATE SALE,DE,DEED
77491781,0121K00338000000,"6926 BISHOP ST, PITTSBURGH, PA 15206",6926, ,,BISHOP,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,110,10th Ward - PITTSBURGH,2015-06-26,2015-06-25,78000,16027,497,37,ESTATE SALE,DE,DEED
